State,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,Clothing and footwear (USD/Capita),812,833,851,855,848,869,848,880,919,927,926,908,876,902,927,926,933,949,967,978,975,1008,1028
Alabama,Gasoline and other energy goods (USD/Capita),557,481,528,685,638,595,698,822,996,1141,1205,1350,980,1164,1422,1440,1430,1344,1019,895,993,1098,1054
Alabama,Other nondurable goods (USD/Capita),1479,1557,1701,1789,1904,2050,2215,2399,2529,2710,2825,2870,2951,2997,3005,3084,3125,3283,3507,3531,3621,3697,3900
Alabama,Services (USD/Capita),10083,10586,11050,11666,12113,12712,13224,13855,14780,15323,15838,16421,16514,16913,17273,17673,18068,18730,19450,20240,20983,21784,22573
Alabama,Household consumption expenditures (for services) (USD/Capita),9900,10356,10769,11357,11794,12385,12927,13533,14460,15010,15471,15963,16066,16473,16813,17186,17566,18189,18944,19665,20378,21168,21994
Alabama,Housing and utilities (USD/Capita),2510,2650,2758,2925,3089,3198,3319,3460,3699,3886,4037,4185,4224,4395,4484,4576,4694,4906,5055,5294,5444,5654,5828
Alabama,Health care (USD/Capita),2856,2926,2966,3091,3285,3540,3694,3874,4239,4353,4413,4535,4693,4730,4792,4987,5077,5224,5454,5650,5826,6005,6296
Alabama,Transportation services (USD/Capita),480,501,523,541,533,523,533,551,580,593,598,593,555,573,595,601,608,636,652,686,730,756,781
Alabama,Recreation services (USD/Capita),749,738,740,744,754,784,811,858,891,915,933,958,950,971,967,982,1014,1039,1093,1156,1188,1229,1264
Alabama,Food services and accommodations (USD/Capita),960,993,1048,1078,1098,1135,1211,1279,1369,1446,1505,1558,1562,1601,1654,1716,1806,1909,2051,2162,2264,2357,2441
Alabama,Financial services and insurance (USD/Capita),1088,1242,1411,1595,1573,1684,1774,1876,2003,2083,2239,2349,2292,2387,2457,2463,2464,2485,2577,2593,2713,2846,2962
Alabama,Other services (USD/Capita),1254,1301,1320,1381,1458,1518,1581,1632,1675,1729,1744,1783,1787,1814,1861,1858,1901,1988,2058,2121,2209,2317,2421
Alabama,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),183,230,281,309,318,326,297,322,320,313,366,457,447,439,460,487,501,540,506,575,605,616,578
Alabama,Gross output of nonprofit institutions (USD/Capita),1446,1544,1659,1753,1831,1941,1967,2128,2264,2338,2533,2654,2718,2780,2849,2926,3009,3079,3170,3305,3445,3583,3729
Alabama,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1263,1314,1378,1444,1513,1614,1669,1806,1943,2024,2167,2196,2270,2340,2389,2439,2508,2538,2664,2730,2840,2967,3151
Alaska,Personal income (millions of dollars),17276,18114,18675,20078,21240,22246,23239,24338,25956,27726,29838,32825,32896,35293,37827,39169,38859,41110,42505,41745,42454,44369,45945
Alaska,Population (persons) 1/,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545
Alaska,Per capita personal income (dollars) 2/,28185,29220,29892,31974,33517,34634,35841,36916,38919,41058,43861,47749,47069,49437,52384,53624,52722,55835,57635,56302,57394,60355,62806
Alaska,Personal consumption expenditures (USD/Capita),22512,23349,24671,26399,27811,29470,31014,32480,34204,35608,37054,38531,38355,38997,40676,41740,42177,43759,44762,45430,47122,48990,50700
Alaska,Goods (USD/Capita),8353,8507,8992,9281,9515,10047,10540,11146,11599,11936,12361,12640,12014,12190,12664,12846,12797,13019,12849,12653,12922,13350,13762
Alaska,Durable goods (USD/Capita),2749,2882,3050,3082,3222,3566,3716,3982,4087,4074,4148,4001,3799,3771,3809,3956,3994,4115,4223,4226,4342,4484,4669
Alaska,Motor vehicles and parts (USD/Capita),935,1012,1135,1182,1251,1400,1418,1423,1340,1233,1220,1048,1008,1009,1012,1094,1137,1171,1239,1214,1240,1227,1227
Alaska,Furnishings and durable household equipment (USD/Capita),589,607,625,636,676,768,803,851,926,940,945,967,923,915,925,945,956,1011,1039,1038,1060,1117,1185
Alaska,Recreational goods and vehicles (USD/Capita),854,884,879,849,892,982,1056,1235,1326,1375,1433,1440,1360,1340,1344,1379,1366,1378,1366,1386,1434,1505,1604
Alaska,Other durable goods (USD/Capita),368,378,409,413,402,414,438,471,494,524,548,544,506,506,527,535,534,554,578,587,607,634,652
Alaska,Nondurable goods (USD/Capita),5604,5624,5942,6199,6292,6480,6824,7164,7511,7861,8213,8639,8214,8418,8855,8890,8802,8903,8625,8426,8580,8865,9092
Alaska,Food and beverages purchased for off-premises consumption (USD/Capita),2387,2461,2550,2589,2690,2792,2948,3073,3230,3370,3554,3748,3721,3746,3870,3897,3861,3856,3798,3694,3682,3763,3824
Alaska,Clothing and footwear (USD/Capita),837,834,844,855,852,854,875,896,906,920,916,918,869,877,908,916,909,932,938,937,930,950,978
Alaska,Gasoline and other energy goods (USD/Capita),761,651,715,899,808,758,821,948,1048,1111,1190,1371,1024,1188,1431,1458,1418,1343,973,802,845,925,882
Alaska,Other nondurable goods (USD/Capita),1618,1678,1832,1854,1941,2074,2178,2246,2325,2459,2551,2601,2598,2606,2645,2617,2613,2771,2914,2991,3122,3226,3407
Alaska,Services (USD/Capita),14158,14841,15678,17117,18296,19422,20473,21334,22605,23672,24693,25891,26340,26807,28012,28894,29380,30740,31913,32777,34200,35639,36938
Alaska,Household consumption expenditures (for services) (USD/Capita),13455,14006,14791,16081,17177,18160,19212,20140,21242,22168,23111,24129,24453,24840,25863,26601,27030,28391,29573,30330,31592,32898,34121
Alaska,Housing and utilities (USD/Capita),3831,4014,4228,4443,4725,4875,5042,5257,5598,5952,6248,6535,6656,6543,6753,6903,6992,7371,7876,8132,8574,8871,9097
Alaska,Health care (USD/Capita),2804,2938,3190,3719,4275,4793,5202,5561,5935,6211,6519,6926,7242,7496,7860,8239,8410,8945,9244,9624,10161,10716,11336
Alaska,Transportation services (USD/Capita),738,779,833,933,974,932,951,969,999,1015,1046,1091,1016,1026,1087,1094,1190,1237,1265,1321,1358,1422,1485
Alaska,Recreation services (USD/Capita),636,637,682,745,761,783,867,977,1070,1145,1270,1331,1333,1366,1379,1448,1526,1667,1723,1746,1773,1778,1783
Alaska,Food services and accommodations (USD/Capita),1776,1797,1880,2009,2046,2169,2337,2469,2571,2705,2809,2893,2811,2884,3048,3145,3161,3325,3454,3434,3428,3562,3683
Alaska,Financial services and insurance (USD/Capita),1668,1713,1793,1919,1875,1903,1948,1986,2070,2042,2071,2128,2088,2188,2301,2305,2293,2322,2405,2423,2606,2746,2837
Alaska,Other services (USD/Capita),1999,2124,2182,2309,2519,2702,2860,2919,2995,3096,3146,3221,3304,3335,3432,3463,3454,3522,3603,3648,3690,3800,3898
Alaska,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),703,835,886,1036,1118,1262,1261,1193,1362,1504,1581,1762,1887,1966,2148,2292,2350,2348,2339,2446,2607,2740,2816
Alaska,Gross output of nonprofit institutions (USD/Capita),2277,2501,2586,2842,2982,3252,3258,3248,3632,3904,4107,4330,4557,4703,4962,5165,5287,5327,5456,5689,6107,6509,6812
Alaska,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1574,1666,1699,1805,1863,1989,1997,2055,2270,2400,2525,2568,2669,2736,2814,2872,2936,2979,3117,3243,3499,3768,3995
Arizona,Personal income (millions of dollars),108023,118057,124654,135387,141344,146505,155175,169638,188136,209127,220735,223345,211975,215523,226365,236846,242856,257410,271258,283199,300007,319226,335243
Arizona,Population (persons) 1/,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717
Arizona,Per capita personal income (dollars) 2/,22804,24176,24813,26235,26803,27149,28161,30012,32220,34686,35789,35563,33418,33638,34973,36132,36615,38246,39718,40801,42590,44597,46058
Arizona,Personal consumption expenditures (USD/Capita),19415,20274,21392,22579,23118,23728,24671,26094,27651,29050,29996,29693,28595,29124,29954,30417,30976,32040,33068,33985,35595,36941,38043
Arizona,Goods (USD/Capita),7274,7494,7993,8501,8600,8707,9117,9843,10649,11321,11546,10988,9935,10151,10644,10793,10945,11303,11380,11508,12016,12436,12744
Arizona,Durable goods (USD/Capita),2713,2917,3108,3356,3405,3515,3618,3905,4169,4367,4292,3648,3145,3197,3354,3454,3565,3713,3886,3979,4181,4357,4504
Arizona,Motor vehicles and parts (USD/Capita),1121,1201,1286,1335,1399,1418,1432,1492,1554,1540,1526,1153,961,1020,1100,1211,1283,1341,1439,1454,1515,1601,1613
Arizona,Furnishings and durable household equipment (USD/Capita),645,694,723,790,797,827,854,951,1058,1117,1036,885,742,732,774,768,776,827,864,920,989,1022,1058
Arizona,Recreational goods and vehicles (USD/Capita),617,678,734,836,817,852,884,973,1034,1127,1106,1018,871,858,870,865,884,907,910,931,988,1030,1115
Arizona,Other durable goods (USD/Capita),329,343,363,394,390,416,447,487,522,581,622,591,570,585,609,608,620,637,671,672,688,703,717
Arizona,Nondurable goods (USD/Capita),4561,4577,4885,5144,5194,5191,5498,5938,6479,6954,7253,7340,6790,6954,7290,7338,7380,7589,7494,7529,7834,8078,8239
Arizona,Food and beverages purchased for off-premises consumption (USD/Capita),1716,1732,1822,1826,1884,1907,2001,2171,2326,2454,2561,2612,2539,2546,2561,2568,2565,2675,2715,2765,2827,2859,2846
Arizona,Clothing and footwear (USD/Capita),764,767,798,834,835,851,880,925,980,1023,1035,989,948,974,998,1013,1029,1046,1060,1066,1064,1094,1103
Arizona,Gasoline and other energy goods (USD/Capita),620,542,588,719,669,595,680,776,964,1075,1186,1282,908,1011,1235,1276,1254,1189,907,789,888,990,961
Arizona,Other nondurable goods (USD/Capita),1459,1535,1675,1764,1805,1837,1935,2066,2208,2400,2469,2455,2393,2422,2495,2479,2530,2677,2810,2908,3053,3132,3328
Arizona,Services (USD/Capita),12140,12779,13398,14078,14517,15021,15554,16250,17002,17729,18449,18704,18659,18972,19309,19623,20030,20737,21687,22477,23579,24505,25299
Arizona,Household consumption expenditures (for services) (USD/Capita),11944,12565,13146,13798,14215,14701,15260,15913,16740,17346,17970,18161,18156,18479,18792,19075,19459,20158,21131,21872,22961,23857,24676
Arizona,Housing and utilities (USD/Capita),3511,3648,3753,3920,4119,4219,4305,4477,4693,4939,5149,5355,5625,5748,5827,5861,5970,6178,6476,6687,6870,7040,7228
Arizona,Health care (USD/Capita),2393,2450,2523,2667,2862,3134,3367,3568,3886,4007,4184,4388,4567,4721,4795,4905,4948,4991,5244,5490,5800,5993,6302
Arizona,Transportation services (USD/Capita),742,796,850,893,868,843,854,877,927,979,997,975,882,894,982,1021,1048,1103,1123,1162,1251,1312,1348
Arizona,Recreation services (USD/Capita),713,765,836,838,859,882,927,996,1037,1135,1194,1171,1135,1131,1089,1122,1180,1261,1355,1448,1577,1641,1668
Arizona,Food services and accommodations (USD/Capita),1422,1466,1535,1612,1605,1633,1715,1851,2019,2150,2269,2220,2113,2126,2195,2263,2341,2468,2640,2699,2896,3036,3089
Arizona,Financial services and insurance (USD/Capita),1795,1919,2069,2251,2199,2219,2252,2263,2268,2147,2100,1970,1727,1721,1725,1700,1757,1851,1943,1969,2065,2155,2233
Arizona,Other services (USD/Capita),1365,1518,1578,1614,1702,1769,1837,1878,1907,1986,2074,2078,2103,2135,2176,2201,2212,2303,2346,2413,2499,2678,2805
Arizona,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),196,214,251,279,301,319,293,337,261,382,478,543,503,492,516,547,571,578,556,604,617,648,623
Arizona,Gross output of nonprofit institutions (USD/Capita),1352,1466,1529,1587,1666,1757,1837,2001,2049,2219,2395,2500,2527,2592,2650,2725,2789,2868,2935,3083,3246,3394,3545
Arizona,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1156,1252,1277,1308,1364,1438,1543,1663,1787,1837,1916,1957,2024,2100,2133,2177,2218,2289,2379,2479,2629,2746,2922
Arkansas,Personal income (millions of dollars),52508,55736,57973,60969,64168,65661,69547,74033,78000,83068,88508,91812,90246,93290,99571,106984,107240,113545,117671,120748,125025,130397,134682
Arkansas,Population (persons) 1/,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804
Arkansas,Per capita personal income (dollars) 2/,20187,21222,21861,22762,23840,24266,25524,26924,28047,29438,31070,31940,31153,31927,33860,36239,36237,38264,39513,40385,41657,43325,44629
Arkansas,Personal consumption expenditures (USD/Capita),15784,16546,17556,18556,19203,19833,20720,21813,23135,24213,25240,25982,25678,26353,27419,28184,28761,29631,30457,31479,32693,33978,35026
Arkansas,Goods (USD/Capita),6601,6763,7285,7765,7765,7868,8232,8646,9088,9435,9818,9975,9592,10031,10588,10834,11031,11198,11144,11340,11646,11983,12162
Arkansas,Durable goods (USD/Capita),2284,2411,2584,2665,2723,2897,3014,3141,3214,3248,3360,3240,3068,3147,3211,3307,3419,3545,3682,3791,3880,3978,4063
Arkansas,Motor vehicles and parts (USD/Capita),1052,1114,1193,1188,1243,1310,1312,1328,1284,1235,1271,1131,1069,1170,1223,1318,1377,1435,1517,1547,1539,1547,1519
Arkansas,Furnishings and durable household equipment (USD/Capita),503,520,552,592,589,630,660,704,742,758,759,738,694,698,701,712,731,759,800,848,891,941,979
Arkansas,Recreational goods and vehicles (USD/Capita),425,464,505,530,553,613,675,726,791,830,876,890,822,792,790,780,810,837,844,879,933,970,1041
Arkansas,Other durable goods (USD/Capita),303,311,333,354,336,342,365,381,395,423,453,480,482,486,495,495,499,513,519,516,515,518,522
Arkansas,Nondurable goods (USD/Capita),4316,4352,4700,5099,5041,4971,5217,5505,5874,6187,6457,6735,6523,6884,7377,7527,7612,7652,7462,7549,7765,8004,8098
Arkansas,Food and beverages purchased for off-premises consumption (USD/Capita),1518,1525,1616,1702,1688,1642,1694,1747,1806,1834,1915,1990,2056,2089,2184,2236,2288,2342,2426,2488,2519,2548,2552
Arkansas,Clothing and footwear (USD/Capita),784,817,866,912,872,846,855,856,879,886,890,870,862,882,914,943,943,963,978,998,1003,1023,1023
Arkansas,Gasoline and other energy goods (USD/Capita),628,567,643,830,788,723,819,967,1149,1281,1347,1508,1124,1367,1673,1710,1713,1566,1189,1063,1166,1302,1233
Arkansas,Other nondurable goods (USD/Capita),1385,1442,1573,1653,1692,1759,1847,1933,2038,2184,2304,2366,2479,2545,2604,2635,2666,2779,2868,2998,3076,3130,3288
Arkansas,Services (USD/Capita),9183,9782,10270,10790,11438,11964,12488,13166,14047,14778,15422,16006,16085,16322,16831,17349,17729,18433,19312,20138,21046,21995,22864
Arkansas,Household consumption expenditures (for services) (USD/Capita),9005,9530,9961,10467,11077,11570,12102,12787,13642,14311,14936,15438,15500,15732,16208,16693,17042,17733,18517,19291,20183,21118,22006
Arkansas,Housing and utilities (USD/Capita),2546,2665,2751,2915,3108,3176,3275,3436,3694,3906,3997,4174,4210,4255,4343,4435,4562,4715,4890,4981,5157,5429,5576
Arkansas,Health care (USD/Capita),2520,2656,2735,2878,3152,3407,3579,3767,4013,4103,4305,4493,4619,4661,4763,4916,4909,5148,5393,5739,6054,6278,6551
Arkansas,Transportation services (USD/Capita),433,451,495,510,517,492,501,527,520,550,577,574,539,536,557,562,588,629,657,706,756,778,806
Arkansas,Recreation services (USD/Capita),437,469,507,504,537,582,634,697,754,820,899,936,910,908,910,919,945,960,978,997,1007,1019,1039
Arkansas,Food services and accommodations (USD/Capita),904,935,969,1021,1055,1100,1141,1203,1264,1326,1379,1431,1463,1494,1552,1617,1638,1706,1819,1915,1973,2029,2115
Arkansas,Financial services and insurance (USD/Capita),1070,1148,1240,1356,1303,1308,1360,1461,1584,1657,1781,1878,1816,1948,2121,2289,2439,2594,2744,2872,3122,3377,3638
Arkansas,Other services (USD/Capita),1092,1203,1261,1280,1401,1503,1609,1692,1811,1946,1994,1949,1940,1926,1958,1953,1958,1976,2033,2077,2111,2205,2277
Arkansas,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),177,252,309,322,360,394,386,379,404,466,485,568,585,589,622,656,686,699,795,847,863,876,857
Arkansas,Gross output of nonprofit institutions (USD/Capita),1270,1409,1519,1570,1682,1815,1823,1910,2061,2181,2290,2443,2553,2646,2749,2865,2929,2993,3236,3434,3635,3765,3880
Arkansas,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1093,1156,1209,1247,1321,1421,1437,1531,1657,1714,1805,1875,1967,2056,2126,2209,2243,2293,2441,2586,2772,2888,3022
California,Personal income (millions of dollars),882677,959949,1026419,1133965,1173768,1193118,1248506,1329404,1407285,1516057,1581573,1606579,1554013,1628457,1737940,1852397,1886376,2021035,2172930,2273557,2383130,2514503,2632279
California,Population (persons) 1/,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
California,Per capita personal income (dollars) 2/,27171,29100,30640,33364,34043,34214,35415,37369,39279,42088,43629,43890,42044,43636,46175,48813,49303,52363,55833,58048,60549,63720,66619
California,Personal consumption expenditures (USD/Capita),21212,22150,23411,25112,25914,26675,27748,29355,31059,32763,34296,34613,33195,34275,35617,36768,37428,38966,40845,42580,44701,46956,49290
California,Goods (USD/Capita),6866,7154,7734,8438,8638,8897,9226,9819,10364,10812,11150,10818,9815,10162,10729,11117,11235,11638,11882,12102,12659,13285,13839
California,Durable goods (USD/Capita),2499,2739,3043,3390,3487,3601,3686,3935,4132,4233,4251,3785,3320,3413,3536,3704,3755,3896,4138,4215,4427,4654,4838
California,Motor vehicles and parts (USD/Capita),863,973,1097,1155,1233,1312,1309,1342,1367,1303,1256,1025,879,917,986,1094,1150,1208,1314,1355,1416,1436,1401
California,Furnishings and durable household equipment (USD/Capita),538,583,655,734,776,803,830,886,944,982,960,848,753,761,773,776,785,827,890,894,938,1004,1039
California,Recreational goods and vehicles (USD/Capita),792,856,937,1117,1113,1100,1134,1245,1322,1419,1463,1360,1189,1214,1219,1242,1232,1249,1297,1331,1416,1528,1685
California,Other durable goods (USD/Capita),305,326,353,381,364,385,411,461,497,528,569,550,498,520,557,590,586,611,636,634,655,686,711
California,Nondurable goods (USD/Capita),4366,4414,4691,5048,5150,5296,5540,5883,6231,6579,6899,7032,6494,6748,7193,7413,7479,7742,7744,7886,8232,8631,9000
California,Food and beverages purchased for off-premises consumption (USD/Capita),1683,1692,1787,1872,1956,2011,2083,2147,2253,2361,2509,2561,2467,2493,2589,2658,2707,2827,2888,2952,3029,3115,3223
California,Clothing and footwear (USD/Capita),942,971,1009,1059,1014,1044,1055,1155,1215,1192,1210,1164,1042,1086,1156,1221,1220,1272,1310,1337,1387,1456,1525
California,Gasoline and other energy goods (USD/Capita),449,392,419,514,494,483,550,666,771,868,918,1042,738,854,1067,1090,1050,1002,767,709,826,936,921
California,Other nondurable goods (USD/Capita),1291,1358,1474,1602,1685,1755,1851,1913,1991,2156,2260,2264,2246,2314,2380,2442,2501,2639,2778,2886,2988,3122,3329
California,Services (USD/Capita),14346,14996,15676,16673,17276,17778,18521,19536,20694,21950,23146,23795,23380,24112,24887,25651,26193,27327,28963,30477,32042,33670,35451
California,Household consumption expenditures (for services) (USD/Capita),14039,14681,15301,16215,16721,17119,17885,18951,20109,21266,22313,22870,22475,23192,23916,24569,25063,26164,27718,29111,30598,32166,33928
California,Housing and utilities (USD/Capita),4602,4810,4993,5242,5565,5698,5864,6127,6523,6973,7271,7566,7763,7861,8029,8168,8323,8619,9043,9440,9794,10137,10601
California,Health care (USD/Capita),2877,2947,2971,3073,3198,3402,3622,3856,4103,4317,4614,4866,4987,5398,5586,5708,5811,6022,6518,6860,7250,7605,8004
California,Transportation services (USD/Capita),875,909,956,1043,1024,985,1004,1053,1128,1206,1270,1256,1153,1175,1250,1318,1387,1457,1503,1613,1725,1858,1975
California,Recreation services (USD/Capita),733,744,840,889,912,924,1012,1123,1185,1252,1312,1322,1251,1307,1307,1368,1386,1430,1514,1594,1673,1750,1836
California,Food services and accommodations (USD/Capita),1339,1413,1455,1557,1596,1649,1736,1877,2005,2152,2288,2348,2231,2269,2363,2469,2514,2711,2961,3180,3341,3551,3780
California,Financial services and insurance (USD/Capita),1973,2119,2190,2347,2226,2208,2264,2380,2521,2575,2653,2570,2305,2381,2487,2537,2656,2795,2947,3042,3243,3478,3662
California,Other services (USD/Capita),1637,1735,1893,2061,2197,2250,2380,2532,2641,2787,2901,2939,2783,2799,2891,2997,2984,3127,3229,3380,3570,3784,4067
California,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),306,314,374,457,554,658,635,584,585,684,833,925,904,920,970,1081,1130,1163,1244,1366,1443,1504,1523
